wall_time,repeat,step,phase,status,joint_positions_rad,message
2026-09-12 23:39:58,3,pick,grasped,complete,"[0.53, 1.86, -1.22, 0.0, -0.53, 0.0, -0.14]",
2026-09-12 23:39:58,3,pick,grasped,grasp_attached,"[0.53, 1.86, -1.22, 0.0, -0.53, 0.0, -0.14]",visual attachment to gripper_base
2026-09-12 23:39:59,3,lift,carried,start,"[0.53, 1.86, -1.22, 0.0, -0.53, 0.0, -0.14]",
2026-09-12 23:40:00,3,lift,carried,complete,"[0.53, 0.0, 0.0, 0.0, 0.0, 0.0, -0.14]",
2026-09-12 23:40:00,3,initial_2,carried,start,"[0.53, 0.0, 0.0, 0.0, 0.0, 0.0, -0.14]",
2026-09-12 23:40:02,3,initial_2,carried,complete,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.14]",
2026-09-12 23:40:03,3,release_ready,carried,start,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.14]",
2026-09-12 23:40:05,3,release_ready,carried,complete,"[-0.48, 1.17, 0.27, 0.0, -1.37, 0.0, -0.14]",
2026-09-12 23:40:05,3,release,placed,start,"[-0.48, 1.17, 0.27, 0.0, -1.37, 0.0, -0.14]",
2026-09-12 23:40:07,3,release,placed,complete,"[-0.48, 1.17, 0.27, 0.0, -1.37, 0.0, 0.12]",
2026-09-12 23:40:07,3,release,placed,released,"[-0.48, 1.17, 0.27, 0.0, -1.37, 0.0, 0.12]","visual attachment released at x=0.2459, y=-0.1239, above B at z=0.0400 m"
2026-09-12 23:40:08,3,release,placed,release_settled,"[-0.48, 1.17, 0.27, 0.0, -1.37, 0.0, 0.12]",object fixed directly below release position at z=0.0200 m
2026-09-12 23:40:08,3,initial,complete,start,"[-0.48, 1.17, 0.27, 0.0, -1.37, 0.0, 0.12]",
2026-09-12 23:40:10,3,initial,complete,complete,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12]",
2026-09-12 23:40:10,3,initial,complete,cycle_passed,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12]","object xyz=(0.2459, -0.1239, 0.0200), xy_error=0.0005"
2026-09-12 23:40:10,4,reset_object,idle,complete,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12]",object reset to pick point A
2026-09-12 23:40:11,4,initial,idle,start,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12]",
2026-09-12 23:40:13,4,initial,idle,complete,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12]",
2026-09-12 23:40:13,4,above_a,approach_pick,start,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12]",
2026-09-12 23:40:14,4,above_a,approach_pick,complete,"[0.52, 0.63, -0.58, 0.0, 0.0, 0.0, 0.12]",
2026-09-12 23:40:14,4,crab,at_pick,start,"[0.52, 0.63, -0.58, 0.0, 0.0, 0.0, 0.12]",
2026-09-12 23:40:15,4,crab,at_pick,complete,"[0.53, 1.65, -1.31, 0.0, 0.0, 0.0, 0.12]",
2026-09-12 23:40:16,4,pick,grasped,start,"[0.53, 1.65, -1.31, 0.0, 0.0, 0.0, 0.12]",
2026-09-12 23:40:17,4,pick,grasped,complete,"[0.53, 1.86, -1.22, 0.0, -0.53, 0.0, -0.14]",
2026-09-12 23:40:17,4,pick,grasped,grasp_attached,"[0.53, 1.86, -1.22, 0.0, -0.53, 0.0, -0.14]",visual attachment to gripper_base
2026-09-12 23:40:17,4,lift,carried,start,"[0.53, 1.86, -1.22, 0.0, -0.53, 0.0, -0.14]",
2026-09-12 23:40:18,4,lift,carried,complete,"[0.53, 0.0, 0.0, 0.0, 0.0, 0.0, -0.14]",
2026-09-12 23:40:19,4,initial_2,carried,start,"[0.53, 0.0, 0.0, 0.0, 0.0, 0.0, -0.14]",
2026-09-12 23:40:21,4,initial_2,carried,complete,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.14]",
2026-09-12 23:40:21,4,release_ready,carried,start,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.14]",
2026-09-12 23:40:23,4,release_ready,carried,complete,"[-0.48, 1.17, 0.27, 0.0, -1.37, 0.0, -0.14]",
2026-09-12 23:40:24,4,release,placed,start,"[-0.48, 1.17, 0.27, 0.0, -1.37, 0.0, -0.14]",
2026-09-12 23:40:26,4,release,placed,complete,"[-0.48, 1.17, 0.27, 0.0, -1.37, 0.0, 0.12]",
2026-09-12 23:40:26,4,release,placed,released,"[-0.48, 1.17, 0.27, 0.0, -1.37, 0.0, 0.12]","visual attachment released at x=0.2466, y=-0.1242, above B at z=0.0400 m"
2026-09-12 23:40:26,4,release,placed,release_settled,"[-0.48, 1.17, 0.27, 0.0, -1.37, 0.0, 0.12]",object fixed directly below release position at z=0.0200 m
2026-09-12 23:40:26,4,initial,complete,start,"[-0.48, 1.17, 0.27, 0.0, -1.37, 0.0, 0.12]",
2026-09-12 23:40:28,4,initial,complete,complete,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12]",
2026-09-12 23:40:28,4,initial,complete,cycle_passed,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12]","object xyz=(0.2466, -0.1242, 0.0200), xy_error=0.0003"
2026-09-12 23:40:28,5,reset_object,idle,complete,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12]",object reset to pick point A
2026-09-12 23:40:29,5,initial,idle,start,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12]",
2026-09-12 23:40:31,5,initial,idle,complete,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12]",
2026-09-12 23:40:31,5,above_a,approach_pick,start,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12]",
2026-09-12 23:40:32,5,above_a,approach_pick,complete,"[0.52, 0.63, -0.58, 0.0, 0.0, 0.0, 0.12]",
2026-09-12 23:40:33,5,crab,at_pick,start,"[0.52, 0.63, -0.58, 0.0, 0.0, 0.0, 0.12]",
2026-09-12 23:40:34,5,crab,at_pick,complete,"[0.53, 1.65, -1.31, 0.0, 0.0, 0.0, 0.12]",
2026-09-12 23:40:34,5,pick,grasped,start,"[0.53, 1.65, -1.31, 0.0, 0.0, 0.0, 0.12]",
2026-09-12 23:40:35,5,pick,grasped,complete,"[0.53, 1.86, -1.22, 0.0, -0.53, 0.0, -0.14]",
2026-09-12 23:40:35,5,pick,grasped,grasp_attached,"[0.53, 1.86, -1.22, 0.0, -0.53, 0.0, -0.14]",visual attachment to gripper_base
2026-09-12 23:40:36,5,lift,carried,start,"[0.53, 1.86, -1.22, 0.0, -0.53, 0.0, -0.14]",
2026-09-12 23:40:37,5,lift,carried,complete,"[0.53, 0.0, 0.0, 0.0, 0.0, 0.0, -0.14]",
2026-09-12 23:40:37,5,initial_2,carried,start,"[0.53, 0.0, 0.0, 0.0, 0.0, 0.0, -0.14]",
2026-09-12 23:40:39,5,initial_2,carried,complete,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.14]",
2026-09-12 23:40:39,5,release_ready,carried,start,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.14]",
2026-09-12 23:40:41,5,release_ready,carried,complete,"[-0.48, 1.17, 0.27, 0.0, -1.37, 0.0, -0.14]",
2026-09-12 23:40:42,5,release,placed,start,"[-0.48, 1.17, 0.27, 0.0, -1.37, 0.0, -0.14]",
2026-09-12 23:40:44,5,release,placed,complete,"[-0.48, 1.17, 0.27, 0.0, -1.37, 0.0, 0.12]",
2026-09-12 23:40:44,5,release,placed,released,"[-0.48, 1.17, 0.27, 0.0, -1.37, 0.0, 0.12]","visual attachment released at x=0.2459, y=-0.1239, above B at z=0.0400 m"
2026-09-12 23:40:44,5,release,placed,release_settled,"[-0.48, 1.17, 0.27, 0.0, -1.37, 0.0, 0.12]",object fixed directly below release position at z=0.0200 m
2026-09-12 23:40:44,5,initial,complete,start,"[-0.48, 1.17, 0.27, 0.0, -1.37, 0.0, 0.12]",
2026-09-12 23:40:46,5,initial,complete,complete,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12]",
2026-09-12 23:40:47,5,initial,complete,cycle_passed,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12]","object xyz=(0.2459, -0.1239, 0.0200), xy_error=0.0005"
2026-09-12 23:40:47,6,initial,complete,passed,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12]","{""status"": ""passed"", ""success_count"": 5, ""repeat_count"": 5, ""success_rule"": ""at least 4 successful runs out of 5"", ""failure_reason"": """"}"
